"","open","high","low","close","volume","adjusted","log_returns"
"AAPL",125.009165553642,125.992304690066,123.979933933775,125.031271365563,39144629.4039735,120.190923468874,0.000186228454418397
"AMZN",715.050768864901,720.837761434437,708.420397743046,714.941192423841,3810306.09271523,714.941192423841,-3.27372776630142e-05
"FB",120.723218635762,121.730145471523,119.611284765563,120.747576246358,23080780.794702,120.747576246358,0.000197166310446092
"GOOG",755.26595047947,760.881904629139,749.303392809271,755.385931180133,1792150.86092715,755.385931180133,0.000105750124160184
"GOOGL",774.165126018543,779.88788084106,767.827404071523,774.10569585298,1917363.8410596,774.10569585298,-9.39662373924397e-05
"MSFT",57.9292450516556,58.378635789404,57.4918674754967,57.967337810596,29792695.4966887,55.2118146145695,0.000720807019740841
"MU",22.8854039231788,23.2343046291391,22.4901456741722,22.8591390900662,28224031.1258278,22.8591390900662,-0.00124351186404765
"NFLX",119.673125896689,121.282978098013,117.979496695364,119.706357606623,10033451.1258278,119.706357606623,0.000428846634656806
"NOW",84.6316423271523,85.6988608980133,83.5435762927152,84.7015099311258,1616295.09933775,84.7015099311258,0.000896378082405768
"NVDA",75.6237085562914,76.6103443178808,74.498834418543,75.6563310688742,11979285.5629139,75.1606517907285,0.00112323654038928
