"","log_returns"
"2015-01-02",-0.00797102083354283
"2015-01-05",-0.0181081841287001
"2015-01-06",-0.0256465166583335
"2015-01-07",-0.0117053162864666
"2015-01-08",0.00937380051095479
"2015-01-09",-0.0171644836271968
"2015-01-12",-0.00484057150203913
"2015-01-13",-0.00534664894274386
"2015-01-14",0.0124961761039156
"2015-01-15",-0.00750479164944297
"2015-01-16",0.0160108464495789
"2015-01-20",-0.00805587440651332
"2015-01-21",0.0210484420878893
"2015-01-22",0.0244550064591227
"2015-01-23",0.00810756800274952
"2015-01-26",-0.00618399192498448
"2015-01-27",-0.0216297143765611
"2015-01-28",-0.0247500519979081
"2015-01-29",-0.000665575201224471
"2015-01-30",0.0355337099108988
"2015-02-02",-0.00613092951158669
"2015-02-03",0.00234573419963084
"2015-02-04",-0.0123195158870329
"2015-02-05",0.00720961168420777
"2015-02-06",0.00634779408974372
"2015-02-09",-0.000322018489963166
"2015-02-10",0.0143308987176888
"2015-02-11",0.00125082913850362
"2015-02-12",0.0105167718957362
"2015-02-13",0.0103629855608029
"2015-02-17",-0.00732330657889722
"2015-02-18",-0.00314490655997958
"2015-02-19",0.00893697737187777
"2015-02-20",-0.00772586610409742
"2015-02-23",-0.00775307794386409
"2015-02-24",0.0114249963676774
"2015-02-25",0.0147626924464736
"2015-02-26",0.0223365679144932
"2015-02-27",0.00747780948528375
"2015-03-02",0.0191016368066067
"2015-03-03",0.00557650720943697
"2015-03-04",0.00261959492079169
"2015-03-05",0.000539046153121057
"2015-03-06",-0.0125945597039595
"2015-03-09",0.00350434169523602
"2015-03-10",-0.0165113247408537
"2015-03-11",-0.00715883920823214
"2015-03-12",0.00360682981615683
"2015-03-13",-0.0112280033287126
"2015-03-16",0.00644080101685043
"2015-03-17",-0.00157815350245009
"2015-03-18",0.0125900595653775
"2015-03-19",-0.00250585624420099
"2015-03-20",-0.00229937061202811
"2015-03-23",-0.00289484363114493
"2015-03-24",0.0134718710209874
"2015-03-25",-0.0207483756678745
"2015-03-26",-0.0043495205687668
"2015-03-27",-0.00846240486637941
"2015-03-30",0.000743025468645889
"2015-03-31",-0.00364291776401805
"2015-04-01",-0.0110709273319593
"2015-04-02",-0.00988508431940089
"2015-04-06",0.00850347560672943
"2015-04-07",-0.00197191077857304
"2015-04-08",0.00598158929760297
"2015-04-09",-0.000462121882348717
"2015-04-10",-0.0042132488818414
"2015-04-13",0.0014106027276932
"2015-04-14",-0.0109879109272609
"2015-04-15",0.0072180049039567
"2015-04-16",0.00733293980532058
"2015-04-17",-0.0087584195362437
"2015-04-20",0.0184362419463964
"2015-04-21",-0.00660768530532288
"2015-04-22",0.00924785837886578
"2015-04-23",0.0110295250671374
"2015-04-24",-0.00183880990963351
"2015-04-27",-0.0143375832439306
"2015-04-28",-0.00173239178787793
"2015-04-29",-0.00252822473837878
"2015-04-30",-0.0194069318848831
"2015-05-01",-0.000984770534052765
"2015-05-04",0.00416933622123226
"2015-05-05",-0.0138635795991239
"2015-05-06",-0.0133024894903948
"2015-05-07",0.0127243313603526
"2015-05-08",0.00292118697834994
"2015-05-11",-0.00497172154947085
"2015-05-12",-0.00482727991071353
"2015-05-13",-0.00177328991780805
"2015-05-14",0.00863675087089922
"2015-05-15",-0.00993459827150249
"2015-05-18",0.000544912680929877
"2015-05-19",0.0063098854236622
"2015-05-20",0.00144750246615179
"2015-05-21",0.00844089551046514
"2015-05-22",-7.41284499745083e-05
"2015-05-26",-0.0108367489055827
"2015-05-27",0.0130340375722892
"2015-05-28",0.00328453692690667
"2015-05-29",-0.009836654283222
"2015-06-01",-0.00522982212136211
"2015-06-02",0.011659383615818
"2015-06-03",0.000740636220445841
"2015-06-04",-0.00197308103080869
"2015-06-05",-0.00564648688110655
"2015-06-08",-0.0122249167281935
"2015-06-09",-0.00165045520035888
"2015-06-10",0.0137519489849627
"2015-06-11",-0.00711070779713363
"2015-06-12",0.00137234802924901
"2015-06-15",-0.00151627775620398
"2015-06-16",-0.000473238357499381
"2015-06-17",-0.000207787423134263
"2015-06-18",0.0107331162652182
"2015-06-19",-0.000968470116442218
"2015-06-22",-0.00259798057077544
"2015-06-23",0.00155531824836544
"2015-06-24",-0.00400797119673695
"2015-06-25",-0.00677782146831449
"2015-06-26",-0.0104215507741233
"2015-06-29",-0.00666966611080047
"2015-06-30",-0.010530153471651
"2015-07-01",-0.00552272724440457
"2015-07-02",0.00444242249616396
"2015-07-06",0.00644690257839254
"2015-07-07",0.00360638649694176
"2015-07-08",-0.00813195019600321
"2015-07-09",-0.00467523754068246
"2015-07-10",0.00726991911256867
"2015-07-13",0.0253295052960394
"2015-07-14",0.0258891324097887
"2015-07-15",0.000160603386657141
"2015-07-16",0.0257313188848346
"2015-07-17",0.0362085852416829
"2015-07-20",0.00571754461140472
"2015-07-21",0.0107627788575845
"2015-07-22",0.00182913150602889
"2015-07-23",-0.026028799472676
"2015-07-24",-0.0369013062638103
"2015-07-27",0.0100300617349394
"2015-07-28",-0.00766168406882826
"2015-07-29",0.00496539541069735
"2015-07-30",0.00410272626527214
"2015-07-31",-0.0091807581184565
"2015-08-03",0.00934310210034422
"2015-08-04",0.00131992833052362
"2015-08-05",0.014787747326883
"2015-08-06",-0.00360339451252843
"2015-08-07",-0.00773014617144173
"2015-08-10",-0.0090323501584427
"2015-08-11",-0.0126619877520941
"2015-08-12",-0.00532272919415414
"2015-08-13",-0.00436551847757356
"2015-08-14",0.00321612463806353
"2015-08-17",0.00617760136613768
"2015-08-18",-0.00875557572111848
"2015-08-19",0.0065276102749663
