"","log_returns"
"2015-01-02",0.00214082723898324
"2015-01-05",-0.000862934240572407
"2015-01-06",-0.0158647025358164
"2015-01-07",0.00542241866509854
"2015-01-08",0.0178083993983232
"2015-01-09",-0.00886085966305227
"2015-01-12",-0.0174435402478173
"2015-01-13",-0.0130720812872188
"2015-01-14",0
"2015-01-15",-0.0161399575995548
"2015-01-16",0.0203174868674864
"2015-01-20",0.00194195771336628
"2015-01-21",-0.000435467036126053
"2015-01-22",0.0160414087651442
"2015-01-23",-0.00380793771108583
"2015-01-26",0.000212700781840284
"2015-01-27",-0.00677495866994674
"2015-01-28",-0.0369398125153205
"2015-01-29",0.0260443470692656
"2015-01-30",-0.0280676627620145
"2015-02-02",0.0168563660976942
"2015-02-03",-0.00072096603772906
"2015-02-04",-0.00238718187351995
"2015-02-05",0.00543287020885055
"2015-02-06",-0.00634624294705332
"2015-02-09",0.00283685759389229
"2015-02-10",-0.00328109035860541
"2015-02-11",-0.00635074439481609
"2015-02-12",0.0100292385845423
"2015-02-13",0.0112321639326761
"2015-02-17",-0.00890923052641366
"2015-02-18",-0.00229467746398386
"2015-02-19",0.00738351300797711
"2015-02-20",0.00801201502341606
"2015-02-23",0.0102448473652419
"2015-02-24",-0.00135997298023492
"2015-02-25",0.000909733941191273
"2015-02-26",0.00158998324501439
"2015-02-27",-0.00636517273362061
"2015-03-02",0.00479733649701716
"2015-03-03",-0.0064487095887353
"2015-03-04",0.00116191486479565
"2015-03-05",0.000928312889497728
"2015-03-06",-0.0149955713531805
"2015-03-09",0.015522395935394
"2015-03-10",-0.00758474864806468
"2015-03-11",-0.00783017397456343
"2015-03-12",-0.00752892427040447
"2015-03-13",0.0165695794650871
"2015-03-16",0.0021678919205172
"2015-03-17",0.00794519648435639
"2015-03-18",0.0254988198410608
"2015-03-19",0.000709710268815981
"2015-03-20",0.00749067155381247
"2015-03-23",-0.000466526706233333
"2015-03-24",0.00280119227516678
"2015-03-25",-0.0346087882761742
"2015-03-26",-0.000242678637609831
"2015-03-27",-0.0036544808609602
"2015-03-30",-0.00341211652319756
"2015-03-31",-0.00294693242428384
"2015-04-01",0.0029513794536218
"2015-04-02",-0.00914148417689034
"2015-04-06",0.0295539647080024
"2015-04-07",-0.00192451346385129
"2015-04-08",-0.000965275206415269
"2015-04-09",0.00556027058063658
"2015-04-10",0.00215956887386828
"2015-04-13",0.00865796654121571
"2015-04-14",-0.00359489897520708
"2015-04-15",0.011902069180171
"2015-04-16",0.00499344748198957
"2015-04-17",-0.00120060049962268
"2015-04-20",0.027884604399972
"2015-04-21",-0.00840735928813107
"2015-04-22",0.00747152670206687
"2015-04-23",0.0104373208948824
"2015-04-24",0.0472663414128579
"2015-04-27",0.0167965109483865
"2015-04-28",0.02847316372943
"2015-04-29",0.00695441528645434
"2015-04-30",-0.00123283352372388
"2015-05-01",0.00164537261214549
"2015-05-04",-0.00269117228262121
"2015-05-05",-0.00461124280961197
"2015-05-06",-0.0274924297263205
"2015-05-07",0.00925038316921928
"2015-05-08",0.00419729896583439
"2015-05-11",-0.00379267213565208
"2015-05-12",0.010615811398442
"2015-05-13",-0.0116886740931081
"2015-05-14",0.014263849070681
"2015-05-15",-0.0117321508650188
"2015-05-18",0.000625023473311795
"2015-05-19",0.000420454060625783
"2015-05-20",0.00400133203128037
"2015-05-21",0.00295668651371126
"2015-05-22",-0.00849255626008198
"2015-05-26",-0.00513814007441002
"2015-05-27",0.0167323821476532
"2015-05-28",-0.00105316490984327
"2015-05-29",-0.0120904854696788
"2015-06-01",0.00360587935934063
"2015-06-02",-0.000213148646798472
"2015-06-03",-0.0110381298302568
"2015-06-04",-0.00923248620834275
"2015-06-05",-0.00367771101382986
"2015-06-08",-0.0123874018239523
"2015-06-09",-0.00240665251266124
"2015-06-10",0.0177493833314395
"2015-06-11",-0.00472613129675433
"2015-06-12",-0.00542359491043627
"2015-06-15",0.000659826256647297
"2015-06-16",0.0105288097008579
"2015-06-17",0.00523449390149015
"2015-06-18",0.0107597334421911
"2015-06-19",-0.0148566196315587
"2015-06-22",-0.0021608045969953
"2015-06-23",-0.00478056098646525
"2015-06-24",-0.00065708032121273
"2015-06-25",-0.00828968525160117
"2015-06-26",-0.00858005483632567
"2015-06-29",-0.0149874631808542
"2015-06-30",-0.0126041955294468
"2015-07-01",-0.000224901586821362
"2015-07-02",-0.00180013545910377
"2015-07-06",0.00973408953087956
"2015-07-07",-0.000902549710439229
"2015-07-08",-0.00451053984714395
"2015-07-09",-0.00515291831352028
"2015-07-10",-0.00892657131359868
"2015-07-13",0.0123731360631414
"2015-07-14",0.00373335231034339
"2015-07-15",0.00174973801749311
"2015-07-16",0.0140285458947186
"2015-07-17",0.00150262991679075
"2015-07-20",0.0057710109937215
"2015-07-21",0.0106316121678742
"2015-07-22",0.00219833018845747
"2015-07-23",0.0183853064580161
"2015-07-24",0.000653217232298515
"2015-07-27",-0.0129260430337178
"2015-07-28",-0.00527942261704847
"2015-07-29",0.0194138275459521
"2015-07-30",0.0133135530304181
"2015-07-31",-0.0125546917137762
"2015-08-03",-0.00362510255583106
"2015-08-04",0.0167572272322696
"2015-08-05",-0.00837171050226948
"2015-08-06",-0.0231113864104596
"2015-08-07",0.00751647469333029
"2015-08-10",0.00806115922112639
"2015-08-11",-0.00879550880968029
"2015-08-12",0.0118370691078065
"2015-08-13",-0.0070370478363502
"2015-08-14",0.0100503573450127
"2015-08-17",0.0108361624352503
"2015-08-18",0.00913830607562829
"2015-08-19",-0.00364060794010327
"2015-08-20",-0.00893933784617624
