"","log_returns"
"2015-01-02",-0.0057430616889423
"2015-01-05",-0.0146953307368801
"2015-01-06",-0.0269891662400277
"2015-01-07",-0.0114163585478007
"2015-01-08",0.0107099136091843
"2015-01-09",-0.0147886371386255
"2015-01-12",-0.00437618288735782
"2015-01-13",-0.00153333762398485
"2015-01-14",0.010950534162948
"2015-01-15",-0.00963578366640843
"2015-01-16",0.0144239378948582
"2015-01-20",-0.00553436489825937
"2015-01-21",0.0185221374927331
"2015-01-22",0.026975111335961
"2015-01-23",0.0072593938147624
"2015-01-26",-0.00886657721831158
"2015-01-27",-0.0194004160781406
"2015-01-28",-0.0242341599339473
"2015-01-29",0.000643107618110389
"2015-01-30",0.0351178734418434
"2015-02-02",-0.00397554242664123
"2015-02-03",0.00632029874059793
"2015-02-04",-0.0132928188578971
"2015-02-05",0.00359254656174283
"2015-02-06",0.00539023168298888
"2015-02-09",-0.00335735825610256
"2015-02-10",0.0149398923952288
"2015-02-11",-0.00321041729928782
"2015-02-12",0.0116980473129736
"2015-02-13",0.00664435450956672
"2015-02-17",-0.0112209376710612
"2015-02-18",-0.00215373350183791
"2015-02-19",0.00731010319541606
"2015-02-20",-0.0106116932809078
"2015-02-23",-0.00744882401299062
"2015-02-24",0.0132688097369075
"2015-02-25",0.0163758687612813
"2015-02-26",0.0245254293096132
"2015-02-27",0.00799444091452837
"2015-03-02",0.0140455538547914
"2015-03-03",0.00422460606700173
"2015-03-04",0.00235444757621827
"2015-03-05",0.00311786656038924
"2015-03-06",-0.0157592244247788
"2015-03-09",0.00555449038396043
"2015-03-10",-0.0152972492536
"2015-03-11",-0.00736896724325524
"2015-03-12",0.00480508777680995
"2015-03-13",-0.0112028002634678
"2015-03-16",0.00842155574265687
"2015-03-17",-0.00121873484490284
"2015-03-18",0.0150017376272397
"2015-03-19",-0.00150690426008428
"2015-03-20",-0.00311049496519388
"2015-03-23",-0.00111370297586523
"2015-03-24",0.0157060333561095
"2015-03-25",-0.0184703555635561
"2015-03-26",-0.00179033623424944
"2015-03-27",-0.00764717940045184
"2015-03-30",0.00158734280664629
"2015-03-31",-0.00582398460827185
"2015-04-01",-0.00967123404154212
"2015-04-02",-0.0112058913118593
"2015-04-06",0.00943862198993806
"2015-04-07",-0.000238574122308185
"2015-04-08",0.00518803350273323
"2015-04-09",-0.00216910296114664
"2015-04-10",-0.00187600389061126
"2015-04-13",0.00290233206798132
"2015-04-14",-0.0125006971892882
"2015-04-15",0.00570892375367443
"2015-04-16",0.00955767952838541
"2015-04-17",-0.00854172391432927
"2015-04-20",0.0199955259880976
"2015-04-21",-0.00622462841625731
"2015-04-22",0.0112064364941665
"2015-04-23",0.0127273853415948
"2015-04-24",-0.0110774467743415
"2015-04-27",-0.0116782138576192
"2015-04-28",8.8577022821395e-05
"2015-04-29",0.00156877647004019
"2015-04-30",-0.0176825931364766
"2015-05-01",0.00117995967112112
"2015-05-04",0.00335203555580214
"2015-05-05",-0.013026154401756
"2015-05-06",-0.0140298440821244
"2015-05-07",0.0113921375818234
"2015-05-08",0.000145774352137032
"2015-05-11",-0.00495301249798107
"2015-05-12",-0.0075448664636794
"2015-05-13",-0.00181484740984363
"2015-05-14",0.00956865077908012
"2015-05-15",-0.00711115421391705
"2015-05-18",0.00522697597388457
"2015-05-19",0.00233309555775312
"2015-05-20",0.00288197368318826
"2015-05-21",0.0119421947364358
"2015-05-22",0.00010820393115542
"2015-05-26",-0.00980215511220006
"2015-05-27",0.0101004676441065
"2015-05-28",0.000704017304290046
"2015-05-29",-0.0143468303281483
"2015-06-01",0.000874441280423667
"2015-06-02",0.0118398647809366
"2015-06-03",0.000342225721999711
"2015-06-04",-0.000887769455462866
"2015-06-05",-0.00448462606486676
"2015-06-08",-0.0112160379452378
"2015-06-09",-0.0023213593044985
"2015-06-10",0.0125649728759714
"2015-06-11",-0.00805779147045618
"2015-06-12",0.000584580969784697
"2015-06-15",0.000497398083392876
"2015-06-16",0.000716050903043162
"2015-06-17",0.00216112068196627
"2015-06-18",0.0148166833310952
"2015-06-19",0.00179526809212756
"2015-06-22",0.000482570684115909
"2015-06-23",0.00641045843185961
"2015-06-24",-0.00697558342601339
"2015-06-25",-0.00420295901512701
"2015-06-26",-0.0119523406417555
"2015-06-29",-0.0101103802401777
"2015-06-30",-0.00930779802598985
"2015-07-01",-0.000662370328397976
"2015-07-02",0.00476163261319479
"2015-07-06",0.00619560387802972
"2015-07-07",0.00473828806955843
"2015-07-08",-0.00717369772464568
"2015-07-09",-0.0073173285870924
"2015-07-10",0.00432496571672807
"2015-07-13",0.0216053984199266
"2015-07-14",0.0167090452451177
"2015-07-15",0.000376863921114958
"2015-07-16",0.0206172582242013
"2015-07-17",0.0284445251833723
"2015-07-20",0.00558691728438134
"2015-07-21",0.0151716336748476
"2015-07-22",0.00155487822605534
"2015-07-23",-0.0250565532160891
"2015-07-24",-0.0330474511442736
"2015-07-27",0.0102303659947552
"2015-07-28",-0.00317845771216048
"2015-07-29",-0.00125409590901706
"2015-07-30",0.0107716563441035
"2015-07-31",-0.0108910650488735
"2015-08-03",0.0106778163282949
"2015-08-04",-0.00461671264133855
"2015-08-05",0.0112618858511206
"2015-08-06",-0.00571365543259022
"2015-08-07",-0.00508947237301495
"2015-08-10",-0.00593885791935496
"2015-08-11",-0.0133539109459829
"2015-08-12",-0.00435802456746026
"2015-08-13",-0.00391071575451385
"2015-08-14",0.00776176649896497
"2015-08-17",0.00878348397398833
"2015-08-18",-0.00339183833231353
"2015-08-19",0.00567858059557872
